,course_name,course_rating,earn_skills,course_link,institution,metadata
27,Google Advanced Data Analytics,4.8,"Skills you'll gain: Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",Google Advanced Data Analytics,Google,Advanced Professional Certificate 3 - 6 Months
28,IBM Business Intelligence (BI) Analyst,4.8,"Skills you'll gain: Data Management, Databases, SQL, Data Visualization, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Data Architecture, Database Theory, Spreadsheet Software, Data Model, Data Warehousing, Python Programming, Computer Programming, Data Analysis, Data Analysis Software, NoSQL, PostgreSQL, Plot (Graphics), Business Analysis, Statistical Visualization, Data Mining, Data Science, Data Visualization Software, R Programming, Tableau Software, Business Intelligence, Forecasting, Interactive Data Visualization, Statistical Analysis",IBM Business Intelligence (BI) Analyst,IBM,Beginner Professional Certificate 3 - 6 Months
29,Cloud Application Development Foundations,4.8,"Skills you'll gain: Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Cloud-Based Integration, Continuous Delivery, NoSQL, Computer Science, Front-End Web Development, React (web framework)",Cloud Application Development Foundations,IBM,Beginner Specialization 3 - 6 Months
30,"DevOps, Cloud, and Agile Foundations",4.8,"Skills you'll gain: DevOps, Cloud Computing, Software Engineering, Agile Software Development, Continuous Delivery, Continuous Integration, Scrum (Software Development), Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, IBM Cloud, Leadership and Management","DevOps, Cloud, and Agile Foundations",IBM,Beginner Specialization 3 - 6 Months
31,Generative AI with Large Language Models,4.8,"Skills you'll gain: Machine Learning, Natural Language Processing, Python Programming",Generative AI with Large Language Models,DeepLearning.AI,Intermediate Course 1 - 4 Weeks
32,IBM and ISC2 Cybersecurity Specialist,4.8,"Skills you'll gain: Computer Security Incident Management, Risk Management, Cloud Computing, System Security, Computer Networking, Cloud Storage, Operating Systems, Leadership and Management, Network Security, Cloud Platforms, Network Architecture, Networking Hardware, Cloud Applications, Cloud Infrastructure, Computer Programming, Cyberattacks, Databases, DevOps, Security Engineering, Cryptography, IBM Cloud, Software Engineering",IBM and ISC2 Cybersecurity Specialist,Multiple educators,Beginner Professional Certificate 3 - 6 Months
33,Microsoft Power BI Data Analyst,4.8,"Skills you'll gain: Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL, Storytelling",Microsoft Power BI Data Analyst,Microsoft,Beginner Professional Certificate 3 - 6 Months
34,IBM IT Support,4.8,"Skills you'll gain: Cloud Computing, Computer Networking, Cloud Storage, Customer Success, Operating Systems, Leadership and Management, System Security, Strategy and Operations, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Communication, Computer Programming, Cyberattacks, Customer Support, Databases, DevOps, Networking Hardware, Cryptography, IBM Cloud, Information Technology, Network Architecture, Network Security, Security Engineering, Software Engineering",IBM IT Support,IBM,Beginner Professional Certificate 3 - 6 Months
35,Meta Front-End Developer,4.8,"Skills you'll gain: HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",Meta Front-End Developer,Meta,Beginner Professional Certificate 3 - 6 Months
36,Foundations of Project Management,4.9,"Skills you'll gain: Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning",Foundations of Project Management,Google,Beginner Course 1 - 4 Weeks
37,Information Technology (IT) and Cloud Fundamentals,4.9,"Skills you'll gain: Cloud Computing, Computer Networking, Cloud Storage, Operating Systems, System Security, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cyberattacks, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",Information Technology (IT) and Cloud Fundamentals,IBM,Beginner Specialization 3 - 6 Months
38,IBM Data Warehouse Engineer,4.9,"Skills you'll gain: Data Management, Databases, Database Administration, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Data Structures, Database Design, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Big Data, Data Model, Computer Programming Tools, Data Analysis Software, Distributed Computing Architecture, Business Analysis, PostgreSQL, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",IBM Data Warehouse Engineer,IBM,Beginner Professional Certificate 3 - 6 Months
39,Google IT Automation with Python,4.9,"Skills you'll gain: Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",Google IT Automation with Python,Google,Beginner Professional Certificate 3 - 6 Months
40,"BI Foundations with SQL, ETL and Data Warehousing",4.9,"Skills you'll gain: Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Computer Programming Tools, Data Analysis, Data Structures, Databases, Big Data, Database Application, Distributed Computing Architecture, Business Analysis, Cloud Computing, Linux, SQL, Business Intelligence, IBM Cloud","BI Foundations with SQL, ETL and Data Warehousing",IBM,Beginner Specialization 3 - 6 Months
41,IBM IT Project Manager,4.9,"Skills you'll gain: Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Product Management, Scrum (Software Development), User Experience Design, Leadership and Management, Project Management, Business Analysis, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Operations Management, Python Programming, Risk Management",IBM IT Project Manager,SkillUp EdTech,Beginner Professional Certificate 3 - 6 Months
42,Foundations of Cybersecurity,4.9,"Skills you'll gain: Linux, Computer Programming, Leadership and Management, SQL",Foundations of Cybersecurity,Google,Beginner Course 1 - 4 Weeks
43,IBM AI Engineering,4.9,"Skills you'll gain: Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",IBM AI Engineering,IBM,Intermediate Professional Certificate 3 - 6 Months
44,IBM Full-Stack JavaScript Developer,4.9,"Skills you'll gain: Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Cloud Platforms, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Product Management, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",IBM Full-Stack JavaScript Developer,IBM,Beginner Professional Certificate 3 - 6 Months
45,Supervised Machine Learning: Regression and Classification,4.9,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",Supervised Machine Learning: Regression and Classification,DeepLearning.AI,Beginner Course 1 - 4 Weeks
46,Meta Social Media Marketing,4.9,"Skills you'll gain: Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship",Meta Social Media Marketing,Meta,Beginner Professional Certificate 3 - 6 Months
47,"Foundations: Data, Data, Everywhere",4.9,"Skills you'll gain: Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel","Foundations: Data, Data, Everywhere",Google,Beginner Course 1 - 3 Months
48,IBM Cybersecurity Analyst,4.6,"Skills you'll gain: Cryptography, Python Programming, Linux, Network Security, Security Strategy, Software Security, System Software, Computer Security Incident Management, Networking Hardware, Security Software, Cloud Computing, Cyberattacks, DevOps, Mobile Security, Computer Programming, Databases, Leadership and Management, Operating Systems, SQL, System Security",IBM Cybersecurity Analyst,IBM,Beginner Professional Certificate 3 - 6 Months
49,AI in Healthcare,4.6,"Skills you'll gain: Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",AI in Healthcare,Stanford University,Beginner Specialization 3 - 6 Months
50,Business Foundations,4.6,"Skills you'll gain: Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Human Resources, People Analysis, Performance Management, Business Analysis, Data Analysis, Digital Marketing, Estimation, Marketing Management, Mathematical Theory & Analysis, Change Management, People Management, Talent Management, Planning, Operations Management",Business Foundations,University of Pennsylvania,Beginner Specialization 3 - 6 Months
51,AI For Everyone,4.6,"Skills you'll gain: Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",AI For Everyone,DeepLearning.AI,Beginner Course 1 - 4 Weeks
52,Generative AI Fundamentals,4.6,"Skills you'll gain: Business Transformation, Machine Learning, Natural Language Processing",Generative AI Fundamentals,IBM,Beginner Specialization 3 - 6 Months
53,IBM IT Scrum Master,4.6,"Skills you'll gain: DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Product Management, Scrum (Software Development), User Experience Design, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Operations Management, Python Programming",IBM IT Scrum Master,IBM,Beginner Professional Certificate 3 - 6 Months
54,IBM Front-End Developer,4.6,"Skills you'll gain: Cloud Applications, Software Engineering, Computer Programming, Application Development, Cloud Computing, IBM Cloud, Programming Principles, Software Engineering Tools, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Cloud-Based Integration, Continuous Delivery, Front-End Web Development, Leadership and Management, Product Management, User Experience Design, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy",IBM Front-End Developer,IBM,Beginner Professional Certificate 3 - 6 Months
55,Generative AI for Data Scientists,4.6,"Skills you'll gain: Data Analysis, Data Science, Natural Language Processing",Generative AI for Data Scientists,IBM,Intermediate Specialization 1 - 3 Months
56,Mathematics for Machine Learning and Data Science,4.6,"Skills you'll gain: Mathematics, Algebra, Linear Algebra, Machine Learning, Machine Learning Algorithms, Calculus, Differential Equations, Regression, Artificial Neural Networks, Mathematical Theory & Analysis, Python Programming, Algorithms, Critical Thinking, Dimensionality Reduction, General Statistics, Probability & Statistics, Statistical Analysis",Mathematics for Machine Learning and Data Science,DeepLearning.AI,Beginner Specialization 1 - 3 Months
57,Generative AI for Software Developers,4.6,"Skills you'll gain: Natural Language Processing, Software Engineering",Generative AI for Software Developers,IBM,Intermediate Specialization 1 - 3 Months
58,Generative AI for Data Analysts,4.6,"Skills you'll gain: Data Analysis, Natural Language Processing",Generative AI for Data Analysts,IBM,Intermediate Specialization 1 - 3 Months
59,IBM Generative AI for Cybersecurity Professionals,4.6,Skills you'll gain: Natural Language Processing,IBM Generative AI for Cybersecurity Professionals,IBM,Intermediate Specialization 1 - 3 Months
60,Intuit Academy Bookkeeping,4.6,"Skills you'll gain: Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Taxes",Intuit Academy Bookkeeping,Intuit,Beginner Professional Certificate 3 - 6 Months
61,IBM Back-end JavaScript Developer,4.6,"Skills you'll gain: Software Engineering, Computer Programming, Software Architecture, Application Development, Software Engineering Tools, Cloud Applications, Cloud Computing, Communication, DevOps, Programming Principles, Web Development, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Javascript, Cloud Platforms, Continuous Delivery, Docker (Software), Leadership and Management, Product Management, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",IBM Back-end JavaScript Developer,IBM,Beginner Professional Certificate 3 - 6 Months
62,Generative AI for Everyone,4.6,"Skills you'll gain: Strategy, Writing",Generative AI for Everyone,DeepLearning.AI,Beginner Course 1 - 4 Weeks
63,Python for Everybody,4.6,"Skills you'll gain: Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Database Application, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Network Architecture, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS",Python for Everybody,University of Michigan,Beginner Specialization 3 - 6 Months
64,IBM Applied DevOps Engineering,4.6,"Skills you'll gain: DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Kubernetes, Computer Programming, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, Cloud Platforms, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",IBM Applied DevOps Engineering,IBM,Intermediate Professional Certificate 3 - 6 Months
65,IT Fundamentals for Cybersecurity,4.6,"Skills you'll gain: Cryptography, Network Security, Linux, Networking Hardware, Security Software, System Software, Cloud Computing, Cyberattacks, Databases, Leadership and Management, Operating Systems, SQL, System Security",IT Fundamentals for Cybersecurity,IBM,Beginner Specialization 3 - 6 Months
66,Technical Support Fundamentals,4.6,"Skills you'll gain: Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware",Technical Support Fundamentals,Google,Beginner Course 1 - 3 Months
67,Finance & Quantitative Modeling for Analysts,4.6,"Skills you'll gain: Finance, Business Analysis, Data Analysis, Financial Analysis, Accounting, Forecasting, Financial Management, General Accounting, General Statistics, Statistical Analysis, Account Management, Financial Accounting, Mathematical Theory & Analysis, Accounts Payable and Receivable, Probability & Statistics, Basic Descriptive Statistics, Cost Accounting, Data Model, Regression, Estimation, Management Accounting, Statistical Tests, Strategy and Operations, Budget Management, Microsoft Excel, Spreadsheet Software, Data Analysis Software, Computer Programming",Finance & Quantitative Modeling for Analysts,University of Pennsylvania,Beginner Specialization 3 - 6 Months
68,IBM Project Manager,4.6,"Skills you'll gain: Software Engineering, Agile Software Development, Scrum (Software Development), Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",IBM Project Manager,SkillUp EdTech,Beginner Professional Certificate 3 - 6 Months
