job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
Oracle Revenue Management & Billing Consultant,Infosys,3.9,30272 Reviews,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Master Of Engineering, Master Of Science (Engg), Master Of Technology, Bachelor of Comm...","Oracle
team
billing
pricing
revenue management
consulting
team management
revenue",10 Days Ago,
Lead - Experience Design,Infosys,3.9,30272 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Other graduate degree Functional Knowledge Proficient in experience design methodologie...,"wireframes
wireframing
sketching
interaction design
wireframe
creative
creative cloud
visual",10 Days Ago,
SAP PI/PO/CPI Consultant,Infosys,3.9,30272 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"MCA, MSc, MTech, Bachelor of Engineering, BSc, BTech You will create requirement specif...","SAP PI
sap
cpi
consulting
sap cpi
po
pi
SAP PO",10 Days Ago,
Package Consultant: SAP HANA SCM SD,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in working with teams to prioritize work and drive system solutions by clear...,"SAP
SAP SD
Architectural design
SCM
User acceptance testing
unit testing
unit
acceptance testing",3 Days Ago,
CPQ Technical Consultant,IBM,4.2,15912 Reviews,6-11 Yrs,Not disclosed,Bangalore/Bengaluru,"At IBM, work is more than a job - it s a calling: To build. To design. To code. To cons...","SAP
HTML
SQL
Billing
CRM
technical
css
javascript",3 Days Ago,
Package Consultant: SAP BW HANA Analytics,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Package Consultant at IBM, get ready to tackle numerous mission-critical company d...","SAP
Machine learning
Business intelligence
sap hana
Analytics
data modeling
big data
bw",3 Days Ago,
Product Manager,IBM,4.2,15912 Reviews,12-16 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise. Atleast 5+ years of relevant experience ...,"Networking
Product management
Appliances
Market research
Product marketing
analysis
linux
netconf",3 Days Ago,
Package Specialist: SAP SCM WMS,IBM,4.2,15912 Reviews,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise. 4+ years SAP experience in consulting wi...,"Supply chain management
SAP
RF
SAP MM
Warehouse management
supply
supply chain
wms",3 Days Ago,
Package Consultant: SAP HANA SCM PP,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in working with teams to prioritize work and drive system solutions by clear...,"SAP
Architectural design
Unit testing
SCM
User acceptance testing
unit
acceptance testing
sap pp",3 Days Ago,
Talented Designer,IBM,4.2,15912 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise. Portfolio of previous work must be prese...,"Business process
User interface designing
Interaction design
Tool design
Adobe
leadership
creative
interface design",3 Days Ago,
Security Consultant: Risk & Compliance,IBM,4.2,15912 Reviews,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Certification like CISSP, CISA, CISM, CCSP Required Technical and Professional Expertis...","Security management
Cisa
Information security
Risk management
Auditing
integration
design
documents",3 Days Ago,
Technical Marketing Engineer & Solution Architect,IBM,4.2,15912 Reviews,12-16 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise. Atleast 5+ years of relevant experience ...,"Automation
Networking
Infrastructure management
Product management
Market research
netflow
iptables
infrastructure",3 Days Ago,
Package Consultant: SAP BW HANA Analytics,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,"As a Package Consultant at IBM, get ready to tackle numerous mission-critical company d...","SAP
Machine learning
Business intelligence
sap hana
Analytics
intelligence
query
packaging",3 Days Ago,
Product Manager,IBM,4.2,15912 Reviews,12-15 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise. Atleast 5+ years of relevant experience ...,"Networking
Product management
Appliances
Market research
Product marketing
marketing
iptables
analysis",3 Days Ago,
Package Consultant: SAP HANA SCM SD,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in working with teams to prioritize work and drive system solutions by clear...,"SAP
SAP SD
Architectural design
SCM
User acceptance testing
sd
software
saps",3 Days Ago,
Package Consultant: SAP HANA SCM PP,IBM,4.2,15912 Reviews,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in working with teams to prioritize work and drive system solutions by clear...,"SAP
Architectural design
Unit testing
SCM
User acceptance testing
sap hana
user acceptance
acceptance testing",3 Days Ago,
IT Testing Professional,Infosys,3.9,30272 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor of Engineering You will create requirement specifications from the business ne...,"Performance testing
test planning
load
agile
load runner
performance
runner
software testing",3 Days Ago,
Network Security Analyst,Infosys,3.9,30272 Reviews,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Good understanding of SDLC and agile methodologies,"Network Security Analysis
fortigate firewall
performance engineering
aruba wireless
cisco
agile
case
performance",3 Days Ago,
Dell Boomi Mid-Level Consultant,Infosys,3.9,30272 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"MCA, MSc, MTech, Bachelor of Engineering, BCA, BSc, BTech You will create requirement s...","Dell Boomi
api management
b2b
b2b integration
api
boomi
consulting
java",3 Days Ago,
Engineer- Software Testing,Vertiv Co,3.5,33 Reviews,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor of Science Degree in Computer Science or a related field (4 year college) . . ...,"management
engineering
automation
sql
computer science
computer
development
agile",22 Days Ago,
Sourcing Specialist,AMERICAN EXPRESS GLOBAL BUSINESS TRAVEL,4,126 Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5+ years of experience in meeting planning skills are required CMP / SMMP preferred Ana...,"microsoft
management
customer service
hospitality
logistics
budgeting
project
recruitment",22 Days Ago,
Full Stack .Net Developer,JK Technosoft,3.6,348 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Proficient with C#, MVC, Web API, WinForms, Angular 10 and above, WCF and Role-Based Au...","application
full stack
winforms
.net
development
software
git
enterprise",22 Days Ago,
Sr. Automation Test Engineer - Selenium,Vertiv Co,3.5,33 Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor of Science Degree in Computer Science or a related field (4 year college) . . ...,"automation
javascript
software testing
git
selenium
sql server
agile
automation testing",22 Days Ago,
Sr Software Engineer - ASP.NET,Vertiv Co,3.5,33 Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s degree or foreign equivalent with strong emphasis on software: Computer Scie...,"application
programming
electrical engineering
electricals
application software
software
program
microsoft windows",22 Days Ago,
Software Engineer - Angular,Vertiv Co,3.5,33 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Bachelor of Science Degree in Computer Science, Engineering or similar (4-year college)...","debugging
data
html
management
continuous integration
web development
deployment
data structures",22 Days Ago,
Engineer- Software Testing,Vertiv Co,3.5,33 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor of Science Degree in Computer Science or a related field (4 year college) . . ...,"management
git
microsoft
agile
automation
software
javascript
development",22 Days Ago,
Engineer - Embedded Development,Vertiv Co,3.5,33 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Application development interfacing with RS-485 and communications Modbus, CANOpen, Eth...","software development
embedded systems
embedded software
embedded development
cmmi
cgi
embedded software development
engineering",22 Days Ago,
Tittle : Assitant Manager - Technical Support,Tata Communications,4.2,2415 Reviews,2-4 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",At least 2 years of experience in Telecom and SIM / eSIM/USIM card projectsExperience :...,"preparation of test cards
SIM/eSIM profile configuration
Java Servlet Technologies
Java XML Parsing
BAP card validation
java
java servlet
sim",22 Days Ago,
Tittle : Manager -Technical Support,Tata Communications,4.2,2415 Reviews,5-10 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR",Experience : 5 years of experience in Telecom and SIM / USIM card and / or eSIM project...,"Telecom
technical support
SIM
Remote SIM Provisioning
eSIM
remote
troubleshooting
gsm",22 Days Ago,
Hiring For Big Data Developer,Coforge,3.7,1275 Reviews,5-10 Yrs,13-23 Lacs PA (Including Variable: 5.0%),"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Greater Noida",Detailed JD - . . . . . . Big Data Developer required with experience working in Hadoop...,"Scala
Spark
data
big data
hiring
development",22 Days Ago,
Hiring For Big Data Developer,Coforge,3.7,1275 Reviews,2-4 Yrs,5-13 Lacs PA (Including Variable: 5.0%),"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Greater Noida",Detailed JD - . . . . . . Big Data Developer required with experience working in Hadoop...,"Scala
Spark
hiring
big data
data
development",22 Days Ago,
Operations Manager - People Transportation,Lithium Urban Technologies,3.9,49 Reviews,4-9 Yrs,4-7 Lacs PA (Including Variable: 20.0%),"Mumbai (All Areas), Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru","About Company -Lithium Urban Technologies is a dynamic, fast-growing company that is le...","Vehicle Management
transport operations
Fleet Management
transport management
operations
vehicle
management
transportation",Women candidates preferred,
Oracle Siebel CRM Developer,Vodafone,4.2,13633 Reviews,4-7 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru",Desired Candidate ProfileThe candidate must have good Siebel Application Development Ex...,"siebel configuration
Siebel Tools
Telecom
Siebel EIM
Siebel Scripting
management
siebel eai
workflow analysis",18 Days Ago,
Information Security Analyst,Mphasis,3.7,5161 Reviews,2-7 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",Desired Skills / Experience: . . 4-5 years of experience in area of Systems / Network/I...,"information security management
management
security management
internal audit
security
information security
risk
networking",30+ Days Ago,
People Advisor (HR Operations),A.P. Moller Maersk,4.4,1933 Reviews,3-7 Yrs,7.5-9 Lacs PA,"Hybrid - Pune, Bangalore/Bengaluru","Whether their issue is big or small, our people should feel cared for just the same and...","Service Now Ticketing
Workday
Hr Shared Services
ops
shared services
hr ops
generalist activities
process",21 Days Ago,
Senior Software Engineer : 2 To 6Yrs in Bangalore,Capgemini,3.9,21667 Reviews,2-6 Yrs,4-8 Lacs PA,Bangalore/Bengaluru,Total Experience: 2-4 Yrs.Good Experience on Mechnical Design concepts Legacy conversio...,"PLM
PASS
Enovia
plm teamcenter
Sheetmetal components
software
teamcenter
dfma",7 Days Ago,
Fea Engineer _ 2-5 Years _ Bangalore,Capgemini,3.9,21667 Reviews,3-5 Yrs,3.5-5 Lacs PA,Hybrid - Bangalore/Bengaluru,Create documentation as per certification requirements years: 2-5 Years. Budget only : ...,"fea
Ansys
Workbench
structure design
design",7 Days Ago,
Dot Net Developer || EY,EY,3.7,6948 Reviews,5-8 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Good problem solving skills Must have a thorough understanding of web technologies and ...,"design patterns
development
solid
c#
design
mvc
.net
asp.net",7 Days Ago,
Recruiter Associate- Bangalore- Work from Office,Trigent Software,3.7,299 Reviews,1-3 Yrs,1.75-3.75 Lacs PA,Bangalore/Bengaluru,2Roles and Responsibilities : 1+ Yrs of experience in E2E Recruitment Desired Candidate...,"recruiter
Shortlisting
sourcing
calling
recruitment
hiring
office
acquisition",7 Days Ago,
Lead C++ Developer Linux / Unix - Short notice applicants only,Conduent,3.6,1945 Reviews,6-11 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Roles and Responsibilities Strong C++ knowledge and OOPS concepts.Proficient in C++ STL...,"Unix
C++
Linux
multithreading
STL
linux unix
application
development",7 Days Ago,
C++ Developer - Immediate joiners only (1 - 2-year Experience),Conduent,3.6,1945 Reviews,1-3 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Proficient understanding of code versioning tools {{such as Git, SVN, and Mercurial}} A...","c++
STL
algorithms
development",7 Days Ago,
Claims Examiner,Mphasis,3.7,5161 Reviews,1-3 Yrs,3-3.5 Lacs PA,Bangalore/Bengaluru,Roles and Responsibilities Audits check run and send claims to the claims department fo...,"claims processing
Health Claims
Claim Adjudication
Claim Settlement
US Healthcare
adjudication
payments
processing",7 Days Ago,
C++ Developer,Wipro,3.9,24792 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Job Responsibilities:Design and develop scalable, maintainable, well mannered (CPU, mem...","C++
Linux
development
automotive
uml
ipc
multithreading",7 Days Ago,
Technical Lead,Tech Mahindra,3.8,20425 Reviews,7-10 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Chennai",". Bachelors Degree in Computer Science, Information Technology or equivalentImmediate J...","Java Architecture
j2ee architecture
architecture
technical architecture
technical
j2ee
technical leadership
java",7 Days Ago,
Cluster Developer,Wipro,3.9,24792 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"About the RoleAs a Senior Software Engineer for Digital Cluster domain, you shall be re...","c++
Cluster Development
autosar
clustering
can bus
software testing
unit testing
oem",7 Days Ago,
Associate Business Consultant,Tech Mahindra,3.8,20425 Reviews,6-11 Yrs,Not disclosed,"Mumbai (All Areas), Hyderabad/Secunderabad, Chennai","Expected to be involved in the requirement gathering, writing the business requirement ...","analytics
business analytics
analysis
business analysis
consulting",7 Days Ago,
Sales Manager,Royaloak Incorporation,3,142 Reviews,0-5 Yrs,2-3 Lacs PA,Bangalore/Bengaluru(Banaswadi +2),Graduation or Post Graduation Desired Skill: . Good communication and interpersonal skills,"Sales Executive Activities
planning
management
sales planning
presentation
sales management
convincing power
target achievement",7 Days Ago,
Node JS Developer,Telstra,4.1,107 Reviews,5-10 Yrs,Not disclosed,Hybrid - Bangalore,Job Title:Network Software Engineering SpecJob advertisement text:With our customers at...,"CICD integration
Agile Development Methodology
Backend web developer
NodeJS
github
integration
javascript
aws lambda",7 Days Ago,
Principal Engineer,BYJUS,3.4,14500 Reviews,7-10 Yrs,Not disclosed,Permanent Remote,"Bachelors or Masters degree in Computer Science, or equivalent experience Proficiency i...","Software Development
software
microservices
development
system
php
distribution
distribution system",3 Days Ago,
Voice and Accent Trainer - VNA,NTT DATA Business Solutions Private Limited,4,4571 Reviews,3-8 Yrs,7-8.5 Lacs PA,Bangalore/Bengaluru,"Develop training materials, such as handbooks, job aids, and presentations, to support ...","voice and accent training
training
vna
accent training
soft skills training
public
phonetics
behavioural training",3 Days Ago,
Power BI Developer (Finance domain),Genpact,4,20687 Reviews,5-10 Yrs,15-25 Lacs PA,Hybrid - Bangalore/Bengaluru,"With a startup spirit and 90, 000+ curious and courageous minds, we have the expertise ...","Power Bi
Finance
Dax
development
bi
dns",3 Days Ago,
Electrical Design Engineer_Creo Mandatory,Quest Global,3.7,1036 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Minimum 4 to 7 years of experience in Electrical components like Wiring harness, cables...","wiring harness
electrical design
creo
design
wiring
harness
electricals",Women candidates preferred,
Oracle Support Lead,Avery Dennison,4.1,295 Reviews,5-9 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Job DescriptionThe person in this role will have accountability for overall strategy, p...","Oracle EBS
fusion
oracle
oracle fusion middleware
erp
eb
paas
oracle fusion",3 Days Ago,
Mobile Developer,Aon,4,1033 Reviews,7-10 Yrs,Not disclosed,"Hybrid - Bangalore/Bengaluru, Delhi / NCR",Requirement:Overall 7+ Years of Experience4+ Years Experience in Mobile Application Dev...,"Xamarin
mobile application development
.net
mobile applications
mobile development
c#
application
application development",3 Days Ago,
Frontend Developer Openings with Sapiens Bangalore,Sapiens,3.8,228 Reviews,3-4 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,MUST.,"Java script
CSS
HTML
React.Js
development
scripting
cs
front end",3 Days Ago,
Walkin For Lab Technician on 25 Mar( Saturday ),Dr Lal PathLabs,4.2,1127 Reviews,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,Flexible to work on a rotational shift What are we looking for: . Must have hands on ex...,"ELISA
fish
flow cytometry
lab
molecular
rt-pcr
flow",3 Days Ago,
Senior Systems Engineer,Thomson Reuters,4.2,1230 Reviews,5-7 Yrs,15-22.5 Lacs PA,Hybrid - Bangalore/Bengaluru,"Provide input to records, quality systems and management reports as required Works and ...","Autoscale
Aws Cloud
Application Support
system engineering
senior systems engineer
system
application
senior",3 Days Ago,
Engineering & Maintenance,Biocon,3.9,1814 Reviews,26 Mar,Not disclosed,Bangalore/Bengaluru(Electronic City +1),Experience 7-12 Years with BE / BTech(Mechanical /Electrical engineering)Experience 5-7...,"mechanical engineering
Pharma
maintenance engineering
pharmaceutical
engineering
mechanical
maintenance",Walk-in,
Research Analyst/ Senior Analyst - Industrial Goods,Evalueserve,3.7,765 Reviews,1-5 Yrs,Not disclosed,"Hybrid - Gurgaon/Gurugram, Bangalore/Bengaluru","We are committed to providing equal employment opportunities (EEO) globally, eliminatin...","Secondary Research
Market Research
research
market sizing
industrial
competitive intelligence
marketing
senior",3 Days Ago,
Hiring Incident Management Lead-Bangalore,Mphasis,3.7,5161 Reviews,4-9 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Incident Management Lead JDQualification:Bachelor's degree, ITIL V4 certification. And ...","ITIL Certified
incident management
Service Management
hiring
certified
servicing
incident
management",3 Days Ago,
Quality Assurance Analyst,Wipro,3.9,24792 Reviews,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,Skills Required . Ability to conduct coaching and feedback sessions for contact Centre ...,"Analytical Skills
3D labeling
2D labeling
annotation
analytical
analytics
quality
labels",2 Days Ago,
Software Engineer .Net,Baker Hughes,4.2,327 Reviews,2-7 Yrs,Not disclosed,"Mumbai, Pune",Required Qualifications . . . . Bachelors Degree in Computer Science or STEM Majors (Sc...,"maven
data
hibernate
software
data structures
jdbc
sdlc
.net",30+ Days Ago,
Early Engagement - Staff Build & Release Engineer,Baker Hughes,4.2,327 Reviews,2-7 Yrs,Not disclosed,"Mumbai, Pune","IaaC) using Terraform, CloudFormation (preferred) At least 2+ years production experien...","tools
software project
build
cloud
engagement
software testing
quality engineering
engineering",30+ Days Ago,
Early Engagement - Full Stack Developer,Baker Hughes,4.2,327 Reviews,6-11 Yrs,Not disclosed,"Mumbai, Pune","Capturing system level requirements by brainstorming with Sr. Architects, Data Scientis...","Maven
Automation
Software design
jQuery
MySQL
Web development
Data structures
MVC",30+ Days Ago,
Early Engagement - Front End Developer,Baker Hughes,4.2,327 Reviews,3-7 Yrs,Not disclosed,"Mumbai, Pune",Translating requirements into prioritized list of user stories and deliver in required ...,"frontend development
jquery
data structures
development
front end
web services
engagement
quality standards",30+ Days Ago,
Corporate B2B Sales Professional,Faasos,3.7,418 Reviews,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, Pune",". Keep adding / converting new big housing societies, B2B customers and becoming their ...","account management
management
b2b
relationship building
corporate events
relationship
corporate sales
business partnering",30+ Days Ago,
Content Writer,Everex Infotech,1,2 Reviews,2-4 Yrs,Not disclosed,"Mumbai, Gandhinagar, Nagpur, Pune","Desired Qualifications and Proficiency Title: Content Writer Location: Mumbai, Pune, Na...","content writing
management
research
content management
smo
social media
seo
web technologies",30+ Days Ago,
Software Developer,Baker Hughes,4.2,327 Reviews,2-6 Yrs,Not disclosed,"Mumbai, Pune","May have prior work experience in an agile environment, or introductory training on Lea...","development life cycle
continuous integration
data structures
development
software testing
front end
life cycle
front",30+ Days Ago,
Early Engagement - Senior Build & Release Engineer,Baker Hughes,4.2,327 Reviews,2-7 Yrs,Not disclosed,"Mumbai, Pune","Infrastructure-as-a-code . . (IaaC) using Terraform, CloudFormation (preferred)To be su...","tools
software project
build
cloud
engagement
software testing
quality engineering
engineering",30+ Days Ago,
Senior Software Engineer,Baker Hughes,4.2,327 Reviews,7-12 Yrs,Not disclosed,"Mumbai, Pune","Be a graduate of Computer Science or in STEM Majors (Science, Technology, Engineering a...","software testing
computer
data
computer science
end
wcf
mvc
unit testing",30+ Days Ago,
Senior Lead - Corporate Sales - MFine - Mumbai / Pune,Mfine,3.9,100 Reviews,3-8 Yrs,Not disclosed,"Mumbai (All Areas), Pune",Organise and coordinate operations to ensure maximum productivity Candidate with excell...,"corporate sales
corporate
sales
senior",14 Days Ago,
Core Personality Development Trainer,Frankfinn,3.9,845 Reviews,15-24 Yrs,8-12 Lacs PA,"Mumbai, Nagpur, New Delhi, Pune, Lucknow, Ahmedabad",Desired Candidate ProfileMinimum Education - GraduateWork Experience - Minimum 15years ...,"Behavioural Training
Personality Development
Leadership Training
Emotional Intelligence
Interpersonal Skills
training
interviewing techniques
intelligence",30+ Days Ago,
"Early Engagement - Senior UX Interaction Designer,",Baker Hughes,4.2,327 Reviews,8-12 Yrs,Not disclosed,"Mumbai, Pune",Participating in team discussions about current user experience design projectsBe profi...,"management
interaction design
research
tools
adobe
web technologies
ux design
usage",30+ Days Ago,
"Early Engagement - Senior Software Engineer (Dot Net),",Baker Hughes,4.2,327 Reviews,9-10 Yrs,Not disclosed,"Mumbai, Pune","Have Bachelors in Computer Science or STEM Majors (Science, Technology, Engineering and...","software engineering
wcf
unit testing
wpf
unit
dot
software testing
oracle",30+ Days Ago,
Java FullStack Developer,Hitachi Ltd.,4.1,368 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Base Job Location: Hyderabad / Bangalore -Must be willing to work from office & should ...,"japanese
j2ee
spring boot
front
oracle
end
spring
backend",3 Days Ago,
Executive - Credit Operations,Bajaj Finserv Ltd.,3.4,42 Reviews,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Graduate 1-4 years of relevant experience in Gold loan Industry . Knowledge of Gold App...,"gold
credit
data
data analysis
data entry
marketing
sales
interpersonal skills",3 Days Ago,
Assistant Manager - Digital Product Finance - Prime,Bajaj Finserv Ltd.,3.4,42 Reviews,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Candidate should be management graduate with 2-3 years of work experience . Proficient ...,"campaign management
finance
assistance
digital product
leadership
campaigns
digital
management",3 Days Ago,
Area Manager - Fixed Deposits/Sr Area Manager,Bajaj Finserv Ltd.,3.4,42 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,MBA or Equivalent . 3 - 5 years of total experience with a 3 years of relevant segment ...,"management
relationship
deposits
sr
area management
fix
interpersonal skill
relationship management",3 Days Ago,
Software Engineer 3,Juniper Networks,4.3,214 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Develop and maintain high-performance, scalable, and reliable Python applications. Desi...","software
javascript
control
networking
postgresql
html
python
machine learning",3 Days Ago,
SAP CS Consultant,Schneider Electric,4.2,4213 Reviews,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,The incumbent is required to respect the approach to client care and must demonstrate d...,"sql
application
sap customer service
consulting
development
sap
cs
troubleshooting",3 Days Ago,
Senior Engineer,Orange Business Services,4.3,976 Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Ideally you should have minimum 4-6 years relevant experience including technical suppo...,"operations
management
customer support
change management
technical support
microsoft windows
change
dhcp",3 Days Ago,
Hiring For L2L3 Protocol testing,HCLTech,3.8,19966 Reviews,2-6 Yrs,Not disclosed,"Hybrid - Noida, Chennai, Bangalore/Bengaluru","Hiring for L2L3 Protocol testing, Python AutomationMust have experience in networking p...","python
protocol testing
automation testing
networking protocols
protocols
networking
automation
hiring",3 Days Ago,
Sales Officer,Nestle,4.1,1619 Reviews,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience: 1 to 5 years in General Trade . : . Custodian of Nestle business in the ass...,"Territory Sales
Distributor Sales
Channel Sales
FMCG Sales
General Trade
secondary sales
area sales
territory",Women candidates preferred,
QA Team lead (Manual Testing ) - Sapiens Bangalore,Sapiens,3.8,228 Reviews,9-11 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Experience in building complex work program and monitoring the implementation of the ta...,"Regression Testing
Insurance
Manual Testing
Functional Testing
quality assurance
regression
manual
genesys",3 Days Ago,
Hiring For Voice and Accent Trainer : Bangalore,NTT DATA Business Solutions Private Limited,4,4571 Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Develop training materials, such as handbooks, job aids, and presentations, to support ...","voice and accent training
Customer Service Training
Call Center Training
training
vna
accent training
soft skills training
hiring",3 Days Ago,
Excellent Opportunity For VMWare Engineer,Genpact,4,20687 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,"Deep knowledge in VMware virtualization components such as, ESXi, vCenter, HA, DRS, vMo...","Nsx
vmware vsan
Vrealize Automation
vrealize
vsphere
automation
vsan
vmware",3 Days Ago,
Principal Engineer,BYJUS,3.4,14500 Reviews,7-10 Yrs,Not disclosed,Permanent Remote,"Bachelors or Masters degree in Computer Science, or equivalent experience Proficiency i...","Software Development
software
microservices
development
system
php
distribution
distribution system",3 Days Ago,
Voice and Accent Trainer - VNA,NTT DATA Business Solutions Private Limited,4,4571 Reviews,3-8 Yrs,7-8.5 Lacs PA,Bangalore/Bengaluru,"Develop training materials, such as handbooks, job aids, and presentations, to support ...","voice and accent training
training
vna
accent training
soft skills training
public
phonetics
behavioural training",3 Days Ago,
Power BI Developer (Finance domain),Genpact,4,20687 Reviews,5-10 Yrs,15-25 Lacs PA,Hybrid - Bangalore/Bengaluru,"With a startup spirit and 90, 000+ curious and courageous minds, we have the expertise ...","Power Bi
Finance
Dax
development
bi
dns",3 Days Ago,
Electrical Design Engineer_Creo Mandatory,Quest Global,3.7,1036 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Minimum 4 to 7 years of experience in Electrical components like Wiring harness, cables...","wiring harness
electrical design
creo
design
wiring
harness
electricals",Women candidates preferred,
Oracle Support Lead,Avery Dennison,4.1,295 Reviews,5-9 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,"Job DescriptionThe person in this role will have accountability for overall strategy, p...","Oracle EBS
fusion
oracle
oracle fusion middleware
erp
eb
paas
oracle fusion",3 Days Ago,
Application Developer: Azure Cloud FullStack,IBM,4.2,15912 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in Agile fundamentals and methodologyRequires deep understanding of ASP and ...,"Business analysis
Cloud
ASP
SQL
microservices
design
analysis
microsoft azure",14 Days Ago,
Application Developer: Cloud FullStack,IBM,4.2,15912 Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise Minimum 8+ years of experience in Core Ja...,"Content management
Web services
Programming
HTTP
SQL
full stack
management
web technologies",14 Days Ago,
Application Developer: Microservices,IBM,4.2,15912 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise Minimum 8+ years of experience in Core Ja...,"Content management
Web services
Programming
HTTP
SQL
management
web technologies
microservices",14 Days Ago,
